experiment_version,model_name,run,component,tp,fp,tn,fn,precision,recall,f1_score,f2_score,accuracy_score
CI-RFS-G5.2,gpt-5.2,1,Total,160,161,6503,16,0.4984423676,0.9090909091,0.6438631791,0.7804878049,0.974122807
CI-RFS-G5.2,gpt-5.2,2,GOAL,107,47,2123,3,0.6948051948,0.9727272727,0.8106060606,0.9006734007,0.9780701754
CI-RFS-G5.2,gpt-5.2,2,NEED,52,89,2135,4,0.3687943262,0.9285714286,0.5279187817,0.7123287671,0.9592105263
CI-RFS-G5.2,gpt-5.2,2,ALTERNATIVES,6,17,2253,4,0.2608695652,0.6,0.3636363636,0.4761904762,0.9907894737
CI-RFS-G5.2,gpt-5.2,2,Total,165,153,6511,11,0.5188679245,0.9375,0.6680161943,0.8072407045,0.9760233918
CI-RFS-G5.2,gpt-5.2,Voting,GOAL,106,47,2123,4,0.6928104575,0.9636363636,0.8060836502,0.8937605396,0.9776315789
CI-RFS-G5.2,gpt-5.2,Voting,NEED,50,86,2138,6,0.3676470588,0.8928571429,0.5208333333,0.6944444444,0.9596491228
CI-RFS-G5.2,gpt-5.2,Voting,ALTERNATIVES,5,13,2257,5,0.2777777778,0.5,0.3571428571,0.4310344828,0.9921052632
CI-RFS,gpt-5.2,Voting,Total,164,224,6440,12,42.27%,93.18%,58.16%,75.09%,96.55%
CI-RFS-G5.2,gpt-5.2,Average,Total,161.6666667,148.6666667,6515.333333,14.33333333,0.5217518325,0.9185606061,0.6652133524,0.7972880495,0.9761695906
CI-RFS-G5.2,gemini-3-flash-preview,0,GOAL,106,64,2106,4,0.6235294118,0.9636363636,0.7571428571,0.868852459,0.9701754386
CI-RFS-G5.2,gemini-3-flash-preview,0,NEED,52,135,2089,4,0.2780748663,0.9285714286,0.4279835391,0.6326034063,0.9390350877
CI-RFS-G5.2,gemini-3-flash-preview,0,ALTERNATIVES,7,42,2228,3,0.1428571429,0.7,0.2372881356,0.393258427,0.9802631579
CI-RFS-G5.2,gemini-3-flash-preview,0,Total,165,241,6423,11,0.4064039409,0.9375,0.5670103093,0.7432432432,0.9631578947
CI-RFS-G5.2,gemini-3-flash-preview,1,GOAL,107,90,2080,3,0.5431472081,0.9727272727,0.6970684039,0.8398744113,0.9592105263
CI-RFS-G5.2,gemini-3-flash-preview,1,NEED,52,140,2084,4,0.2708333333,0.9285714286,0.4193548387,0.625,0.9368421053
CI-RFS-G5.2,gemini-3-flash-preview,1,ALTERNATIVES,7,41,2229,3,0.1458333333,0.7,0.2413793103,0.3977272727,0.9807017544
CI-RFS-G5.2,gemini-3-flash-preview,1,Total,166,271,6393,10,0.3798627002,0.9431818182,0.5415986949,0.7274320771,0.9589181287
CI-RFS-G5.2,gemini-3-flash-preview,2,GOAL,106,73,2097,4,0.5921787709,0.9636363636,0.7335640138,0.8562197092,0.9662280702
CI-RFS-G5.2,gemini-3-flash-preview,2,NEED,51,122,2102,5,0.2947976879,0.9107142857,0.4454148472,0.6423173804,0.9442982456
CI-RFS-G5.2,gemini-3-flash-preview,2,ALTERNATIVES,7,31,2239,3,0.1842105263,0.7,0.2916666667,0.4487179487,0.9850877193
CI-RFS-G5.2,gemini-3-flash-preview,2,Total,164,226,6438,12,0.4205128205,0.9318181818,0.5795053004,0.7495429616,0.9652046784
CI-RFS-G5.2,gemini-3-flash-preview,Voting,GOAL,106,77,2093,4,0.5792349727,0.9636363636,0.7235494881,0.8507223114,0.9644736842
